time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
111.6415,0.2576,0.9231,0.4234,351.1075,318.4678,30.2555
111.6507,0.2577,0.9233,0.4242,351.041,318.5543,30.3546
111.6616,0.2579,0.9234,0.425,350.9947,318.7055,30.4298
111.6728,0.2581,0.9235,0.4259,350.9497,318.8893,30.478
111.6848,0.2583,0.9237,0.4268,350.9236,319.0863,30.4488
111.6951,0.2586,0.9237,0.4277,350.9123,319.2375,30.3819
111.7059,0.2589,0.9237,0.4286,350.9506,319.3862,30.3152
111.7169,0.2591,0.9236,0.4293,351.0068,319.4935,30.3259
111.7279,0.2594,0.9236,0.4299,351.045,319.5773,30.3882
111.7391,0.2597,0.9234,0.4303,351.0461,319.5994,30.5614
111.7507,0.26,0.9233,0.4306,351.0274,319.6709,30.7045
111.7617,0.2603,0.9232,0.4309,350.976,319.7591,30.8
111.7731,0.2605,0.9231,0.4311,350.9898,319.845,30.7727
111.7848,0.2608,0.9231,0.4312,351.066,319.9269,30.6378
111.7947,0.261,0.9231,0.4313,351.1424,319.9856,30.4942
111.8072,0.2611,0.923,0.4311,351.1777,319.9475,30.3941
111.8167,0.2612,0.9228,0.4309,351.2274,319.8909,30.354
111.8278,0.2612,0.9226,0.4306,351.3056,319.8209,30.3409
111.8391,0.2611,0.9224,0.4302,351.4074,319.7472,30.3403
111.8503,0.2609,0.9221,0.4298,351.4975,319.6815,30.34
111.8613,0.2607,0.9219,0.4293,351.5575,319.583,30.4042
111.8725,0.2604,0.9217,0.4288,351.5622,319.4872,30.4583
111.8836,0.26,0.9215,0.4283,351.5646,319.3893,30.4886
111.8948,0.2596,0.9214,0.4278,351.5761,319.2681,30.4534
111.9061,0.2591,0.9213,0.4275,351.6366,319.0997,30.3738
111.9172,0.2584,0.9212,0.4274,351.7947,318.8783,30.2533
111.9285,0.2576,0.9212,0.4274,351.9605,318.6726,30.1872
111.9396,0.2566,0.9211,0.4278,352.0821,318.4688,30.255
111.9506,0.2554,0.921,0.4285,352.1398,318.2908,30.4974
111.9615,0.2542,0.9211,0.4293,352.1543,318.1276,30.8097
111.9728,0.2527,0.9213,0.4307,352.1424,318.0356,31.1491
111.984,0.2511,0.9216,0.4323,352.1452,317.9562,31.4104
111.9949,0.2493,0.9222,0.4344,352.1654,317.959,31.5353
112.0065,0.2474,0.9229,0.4367,352.2059,318.0246,31.5868
112.0172,0.2453,0.9239,0.4395,352.2703,318.1833,31.543
112.0284,0.243,0.925,0.4425,352.307,318.3261,31.4632
112.0397,0.2405,0.9263,0.4459,352.3033,318.4518,31.2735
112.0504,0.2379,0.9276,0.4497,352.3521,318.5559,30.9529
112.062,0.2352,0.929,0.4538,352.5233,318.7041,30.5615
