directory,experiment,ppid,session_num,trial_num,block_num,trial_num_in_block,start_time,end_time,targetAngle,type,cursor_rotation,target_vertPos,plane_setting,home_x,home_y,home_z,trackerholderobject_movement_filename
experiment_demo - Copy/P_190522140500/S001,experiment_demo - Copy,P_190522140500,1,1,1,1,19.01438,28.61069,90,nocursor,0,0,none,0.3113799,0.8395488,0.5783824,trackerholderobject_movement_T001.csv
experiment_demo - Copy/P_190522140500/S001,experiment_demo - Copy,P_190522140500,1,2,2,1,32.53289,97.3621,80,aligned,0,0,none,0.2561862,0.924523,0.4277428,trackerholderobject_movement_T002.csv
experiment_demo - Copy/P_190522140500/S001,experiment_demo - Copy,P_190522140500,1,3,2,2,98.45055,99.22842,100,aligned,0,0,none,0.2561862,0.924523,0.4277428,trackerholderobject_movement_T003.csv
experiment_demo - Copy/P_190522140500/S001,experiment_demo - Copy,P_190522140500,1,4,3,1,99.7615,101.6842,40,rotated,45,20,tilt,0.2561862,0.924523,0.4277428,trackerholderobject_movement_T004.csv
experiment_demo - Copy/P_190522140500/S001,experiment_demo - Copy,P_190522140500,1,5,3,2,103.3838,104.6845,140,rotated,45,20,tilt,0.2561862,0.924523,0.4277428,trackerholderobject_movement_T005.csv
experiment_demo - Copy/P_190522140500/S001,experiment_demo - Copy,P_190522140500,1,6,3,3,106.1284,107.7288,120,rotated,45,20,tilt,0.2561862,0.924523,0.4277428,trackerholderobject_movement_T006.csv
experiment_demo - Copy/P_190522140500/S001,experiment_demo - Copy,P_190522140500,1,7,3,4,109.3617,110.4835,60,rotated,45,20,tilt,0.2561862,0.924523,0.4277428,trackerholderobject_movement_T007.csv
experiment_demo - Copy/P_190522140500/S001,experiment_demo - Copy,P_190522140500,1,8,3,5,111.6282,113.1285,80,rotated,45,20,tilt,0.2561862,0.924523,0.4277428,trackerholderobject_movement_T008.csv
experiment_demo - Copy/P_190522140500/S001,experiment_demo - Copy,P_190522140500,1,9,3,6,114.1841,115.7619,100,rotated,45,20,tilt,0.2561862,0.924523,0.4277428,trackerholderobject_movement_T009.csv
experiment_demo - Copy/P_190522140500/S001,experiment_demo - Copy,P_190522140500,1,10,4,1,116.7287,168.1337,90,instruction,0,0,none,,,,trackerholderobject_movement_T010.csv


