timestamp,log_type,message
0,Log,D:/shanaa/repos/unity-reachToTarget-remake/UFile-reachToTarget-remake/Assets is Active dataPath
0,Log,D:/shanaa/repos/unity-reachToTarget-remake/UFile-reachToTarget-remake/Assets/Files/deskCalibration.txt exists calibrating desk
0,Log,Loaded: D:\shanaa\repos\unity-reachToTarget-remake\UFile-reachToTarget-remake\data\demo_participant_list.csv
0.02,Warning,"A Canvas named ""[UXF_UI]"" with a render mode of ScreenSpaceOverlay is being used while VR is also enabled. This Canvas will continue to incur a rendering cost but will not be visible while in VR. Is this intentional?"
3.493277,Log,Updating: D:\shanaa\repos\unity-reachToTarget-remake\UFile-reachToTarget-remake\data\demo_participant_list.csv
11.18865,Log,Home Position Transformed: (-0.3921155 0.9008192 0.5837876)
13.23986,Log,instruction acceptor: running end and prepare
13.23986,Log,Audio Clip Played Pitch: 0.8710955
16.92,Log,Ding! You put the target in the box!
16.92,Log,Audio Clip Played Pitch: 1.283006
16.92,Log,Ding! You put the target in the box!
16.92,Log,Audio Clip Played Pitch: 0.789732
19.77025,Exception,InvalidOperationException: Stack empty.
19.78443,Exception,InvalidOperationException: Stack empty.
19.79362,Exception,InvalidOperationException: Stack empty.
19.80574,Exception,InvalidOperationException: Stack empty.
19.81484,Exception,InvalidOperationException: Stack empty.
19.82612,Exception,InvalidOperationException: Stack empty.
19.83745,Exception,InvalidOperationException: Stack empty.
19.84812,Exception,InvalidOperationException: Stack empty.
19.85898,Exception,InvalidOperationException: Stack empty.
19.86965,Exception,InvalidOperationException: Stack empty.
19.88088,Exception,InvalidOperationException: Stack empty.
19.8919,Exception,InvalidOperationException: Stack empty.
19.90277,Exception,InvalidOperationException: Stack empty.
19.91448,Exception,InvalidOperationException: Stack empty.
19.92582,Exception,InvalidOperationException: Stack empty.
19.93728,Exception,InvalidOperationException: Stack empty.
19.94758,Exception,InvalidOperationException: Stack empty.
19.95825,Exception,InvalidOperationException: Stack empty.
19.96926,Exception,InvalidOperationException: Stack empty.
19.98261,Exception,InvalidOperationException: Stack empty.
19.9922,Exception,InvalidOperationException: Stack empty.
20.00248,Exception,InvalidOperationException: Stack empty.
20.01383,Exception,InvalidOperationException: Stack empty.
20.02558,Exception,InvalidOperationException: Stack empty.
20.03593,Exception,InvalidOperationException: Stack empty.
20.04673,Exception,InvalidOperationException: Stack empty.
20.05838,Exception,InvalidOperationException: Stack empty.
20.06957,Exception,InvalidOperationException: Stack empty.
20.0803,Exception,InvalidOperationException: Stack empty.
20.09137,Exception,InvalidOperationException: Stack empty.
20.10248,Exception,InvalidOperationException: Stack empty.
