time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
35.4803,-0.3903,0.9012,0.5813,332.3329,87.0773,121.2088
35.49385,-0.3903,0.901,0.5812,332.4194,87.1921,120.981
35.50272,-0.3903,0.9008,0.5812,332.4772,87.3078,120.7833
35.51324,-0.3903,0.9007,0.5811,332.5453,87.4266,120.623
35.52451,-0.3903,0.9005,0.5809,332.6124,87.5152,120.4769
35.53581,-0.3903,0.9005,0.5808,332.6488,87.5662,120.3418
35.54736,-0.3903,0.9005,0.5806,332.6462,87.6459,120.2003
35.55803,-0.3904,0.9005,0.5804,332.6145,87.7789,120.0324
35.56907,-0.3904,0.9007,0.5802,332.5635,87.9176,119.8447
35.58083,-0.3905,0.9008,0.58,332.5145,88.0024,119.7085
35.591,-0.3906,0.9009,0.5799,332.4805,88.0151,119.7297
35.6025,-0.3906,0.9008,0.5799,332.488,87.9549,119.8769
35.61337,-0.3907,0.9009,0.5798,332.4649,87.93,120.0323
35.62491,-0.3907,0.9009,0.5798,332.4471,87.8728,120.0828
35.636,-0.3908,0.9009,0.5799,332.4387,87.8716,120.0308
35.64773,-0.3908,0.901,0.5801,332.3925,87.8805,119.8876
35.65905,-0.3907,0.901,0.5803,332.3846,87.879,119.688
35.66935,-0.3907,0.9008,0.5806,332.4151,87.83,119.5371
35.68024,-0.3906,0.9007,0.581,332.4566,87.7427,119.4433
35.69106,-0.3905,0.9005,0.5814,332.5317,87.625,119.4179
35.70247,-0.3903,0.9004,0.5817,332.5981,87.5431,119.4725
35.71388,-0.39,0.9003,0.582,332.6551,87.4916,119.55
35.72454,-0.3896,0.9002,0.5826,332.725,87.3642,119.6629
35.73582,-0.3891,0.9002,0.5835,332.7758,87.03,119.8753
35.7467,-0.3884,0.9002,0.5848,332.8191,86.5118,120.212
35.75793,-0.3877,0.9002,0.5862,332.8922,85.9265,120.6357
35.7689,-0.3867,0.9002,0.5881,333.0012,85.1878,121.22
35.78008,-0.3857,0.9001,0.5901,333.1521,84.3592,121.8951
35.7915,-0.3845,0.8998,0.5925,333.3987,83.2678,122.8227
35.80244,-0.383,0.8995,0.595,333.7044,82.1606,123.9168
35.81405,-0.3817,0.8994,0.5971,333.9413,81.3093,124.9013
35.82489,-0.3804,0.8992,0.5993,334.2328,80.4855,125.8904
35.83734,-0.3792,0.899,0.6015,334.5466,79.5856,126.8786
35.84673,-0.3779,0.8988,0.6038,334.8452,78.5806,127.8766
35.85883,-0.3768,0.8986,0.6061,335.1306,77.6532,128.8571
35.86935,-0.3755,0.8984,0.6082,335.4273,76.8335,129.7621
35.88082,-0.3743,0.8982,0.6102,335.7063,76.1269,130.5552
35.89137,-0.3729,0.8982,0.6122,335.9109,75.4413,131.2784
35.90237,-0.3715,0.8982,0.6143,336.0673,74.683,131.9677
35.91367,-0.3699,0.8981,0.6163,336.2867,73.9186,132.6431
