directory,experiment,ppid,session_num,trial_num,block_num,trial_num_in_block,start_time,end_time,targetAngle,type,cursor_rotation,target_vertPos,plane_setting,home_x,home_y,home_z,trackerholderobject_movement_filename
experiment_demo - moveObject/P_190918164754/S001,experiment_demo - moveObject,P_190918164754,1,1,1,1,12.15982,13.23986,90,instruction,0,0,none,-0.3921155,0.9008192,0.5837876,trackerholderobject_movement_T001.csv
experiment_demo - moveObject/P_190918164754/S001,experiment_demo - moveObject,P_190918164754,1,2,2,1,13.23986,16.92,45,aligned,0,0,none,-0.3921155,0.9008192,0.5837876,trackerholderobject_movement_T002.csv
experiment_demo - moveObject/P_190918164754/S001,experiment_demo - moveObject,P_190918164754,1,3,2,2,18.45844,21.24,50,aligned,0,0,none,-0.3921155,0.9008192,0.5837876,trackerholderobject_movement_T003.csv
experiment_demo - moveObject/P_190918164754/S001,experiment_demo - moveObject,P_190918164754,1,4,2,3,23.30256,25.66,40,aligned,0,0,none,-0.3921155,0.9008192,0.5837876,trackerholderobject_movement_T004.csv
experiment_demo - moveObject/P_190918164754/S001,experiment_demo - moveObject,P_190918164754,1,5,2,4,27.26641,29.4,40,aligned,0,0,none,-0.3921155,0.9008192,0.5837876,trackerholderobject_movement_T005.csv
experiment_demo - moveObject/P_190918164754/S001,experiment_demo - moveObject,P_190918164754,1,6,2,5,31.00281,33.82,50,aligned,0,0,none,-0.3921155,0.9008192,0.5837876,trackerholderobject_movement_T006.csv
experiment_demo - moveObject/P_190918164754/S001,experiment_demo - moveObject,P_190918164754,1,7,2,6,35.4803,37.86,45,aligned,0,0,none,-0.3921155,0.9008192,0.5837876,trackerholderobject_movement_T007.csv
experiment_demo - moveObject/P_190918164754/S001,experiment_demo - moveObject,P_190918164754,1,8,3,1,39.40268,41.52,90,clamped,0,0,none,-0.3921155,0.9008192,0.5837876,trackerholderobject_movement_T008.csv
experiment_demo - moveObject/P_190918164754/S001,experiment_demo - moveObject,P_190918164754,1,9,3,2,42.76966,44.36,90,clamped,0,0,none,-0.3921155,0.9008192,0.5837876,trackerholderobject_movement_T009.csv
experiment_demo - moveObject/P_190918164754/S001,experiment_demo - moveObject,P_190918164754,1,10,3,3,45.74741,47.1,90,clamped,0,0,none,-0.3921155,0.9008192,0.5837876,trackerholderobject_movement_T010.csv
experiment_demo - moveObject/P_190918164754/S001,experiment_demo - moveObject,P_190918164754,1,11,3,4,48.3473,52.34,90,clamped,0,0,none,-0.3921155,0.9008192,0.5837876,trackerholderobject_movement_T011.csv
experiment_demo - moveObject/P_190918164754/S001,experiment_demo - moveObject,P_190918164754,1,12,4,1,53.76933,62.38,90,rotated,45,0,none,-0.3921155,0.9008192,0.5837876,trackerholderobject_movement_T012.csv
experiment_demo - moveObject/P_190918164754/S001,experiment_demo - moveObject,P_190918164754,1,13,4,2,63.60308,70.85192,90,rotated,45,0,none,,,,trackerholderobject_movement_T013.csv







