directory,experiment,ppid,session_num,trial_num,block_num,trial_num_in_block,start_time,end_time
experiment_demo/P_190515121122/S001,experiment_demo,P_190515121122,1,1,1,1,16.15405,
experiment_demo/P_190515121122/S001,experiment_demo,P_190515121122,1,2,1,2,26.48773,
experiment_demo/P_190515121122/S001,experiment_demo,P_190515121122,1,3,2,1,29.9434,
experiment_demo/P_190515121122/S001,experiment_demo,P_190515121122,1,4,2,2,32.08777,
experiment_demo/P_190515121122/S001,experiment_demo,P_190515121122,1,5,2,3,33.68628,
experiment_demo/P_190515121122/S001,experiment_demo,P_190515121122,1,6,2,4,36.34295,42.92328










